Número de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant.;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comisión;Tarifa de Liquidación;Tarifa de Intercambio;Tarifa de IP;Tarifa de NFA;MAE;MFE;ETD;Barras;
69;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07188;0,07044;10/2/2023 12:00:00 a m;11/2/2023 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;139,90 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;1,15 %;3,16 %;2;
70;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07048;0,07010;4/3/2023 12:00:00 a m;7/3/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,54 %;138,61 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,38 %;0,20 %;0,74 %;4;
71;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07035;0,06894;10/3/2023 12:00:00 a m;15/3/2023 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;133,82 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;4,53 %;6,54 %;6;
72;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06775;0,06640;8/4/2023 12:00:00 a m;9/4/2023 12:00:00 a m;ENTRADA;Stop loss;-1,99 %;129,16 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,99 %;0,24 %;2,23 %;2;
73;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06624;0,06695;16/4/2023 12:00:00 a m;27/4/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;1,07 %;131,62 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,08 %;7,08 %;6,01 %;12;
74;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06757;0,06622;8/5/2023 12:00:00 a m;8/5/2023 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;126,99 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,00 %;2,00 %;1;
75;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06678;0,06649;11/5/2023 12:00:00 a m;20/5/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,43 %;126,01 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,08 %;1,53 %;1,96 %;10;
76;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06714;0,06779;21/5/2023 12:00:00 a m;13/6/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;0,97 %;128,20 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,66 %;5,57 %;4,60 %;24;
77;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06393;0,06376;17/7/2023 12:00:00 a m;18/7/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,27 %;127,59 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,50 %;0,22 %;0,48 %;2;
78;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06377;0,06358;29/7/2023 12:00:00 a m;2/8/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,30 %;126,91 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,41 %;0,67 %;0,97 %;5;
79;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06377;0,06249;21/8/2023 12:00:00 a m;24/8/2023 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;122,36 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;1,43 %;3,43 %;4;
80;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06354;0,06329;26/8/2023 12:00:00 a m;29/8/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,39 %;121,48 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,83 %;0,36 %;0,76 %;4;
81;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06353;0,06330;30/8/2023 12:00:00 a m;31/8/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,36 %;120,68 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,23 %;0,05 %;0,41 %;2;
82;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06346;0,06313;3/9/2023 12:00:00 a m;4/9/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,52 %;119,53 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,98 %;0,06 %;0,58 %;2;
83;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06328;0,06298;5/9/2023 12:00:00 a m;6/9/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,47 %;118,49 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,58 %;0,03 %;0,51 %;2;
84;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06337;0,06278;8/9/2023 12:00:00 a m;10/9/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,93 %;116,46 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,20 %;1,15 %;2,08 %;3;
85;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06198;0,06074;2/10/2023 12:00:00 a m;4/10/2023 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;112,13 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,95 %;2,95 %;3;
86;ETHBTC;Backtest;CRUCEEMA;Long;1;0,05779;0,05663;12/11/2023 12:00:00 a m;12/11/2023 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;107,87 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;0,00 %;2,01 %;1;
87;ETHBTC;Backtest;CRUCEEMA;Long;1;0,05631;0,05518;16/11/2023 12:00:00 a m;17/11/2023 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;103,70 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;0,39 %;2,40 %;2;
88;ETHBTC;Backtest;CRUCEEMA;Long;1;0,05515;0,05507;25/11/2023 12:00:00 a m;29/11/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,15 %;103,40 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,87 %;2,19 %;2,34 %;5;
89;ETHBTC;Backtest;CRUCEEMA;Long;1;0,05477;0,05367;30/12/2023 12:00:00 a m;2/1/2024 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;99,32 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;2,65 %;4,66 %;4;
90;ETHBTC;Backtest;CRUCEEMA;Long;1;0,05539;0,05552;13/1/2024 12:00:00 a m;28/1/2024 12:00:00 a m;ENTRADA;Cierre por Cruce;0,23 %;99,78 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,95 %;10,44 %;10,20 %;16;
